Head,Tail,Relations
582,2437,249
582,5093,283
583,3648,29
583,4459,31
584,1663,16
584,8185,140
586,4344,204
587,3660,29
587,3880,31
588,2437,249
588,9057,283
589,6173,185
592,6777,16
593,8413,289
593,229,290
594,4588,204
595,8182,140 274
595,5102,239
595,5215,250
595,2303,273
596,8189,140
596,4350,204
597,5774,236 564
598,6953,236
599,2756,300
599,2223,301
600,1609,86 587
600,6531,87
600,2106,116
601,3616,185
602,6405,90
606,1097,166
607,5329,86
607,6531,87
607,4625,139
607,2304,278
608,8140,263
608,5194,264
609,8397,236
610,8737,289
612,3654,29
612,3987,31
613,1550,81
613,4167,204
614,8196,140 274
614,1511,156
614,2303,273
616,8395,236
617,8835,300
617,4546,301
617,7243,302 311
618,4167,204
619,3616,185
620,4091,204
622,4622,236
624,3638,29
624,4459,31
625,5178,29
625,4821,31
628,3668,29
628,3987,31
629,7076,104 263 597 582
629,6266,264 444
629,2680,272 269
630,7014,263
630,3400,264 584
630,1789,269
630,7515,272
631,3642,29
631,4459,31
633,8189,140 274
633,2786,250
633,2384,273
634,6509,300
634,4235,301
636,2514,12
636,8989,311
638,2689,235
638,5774,236
639,3657,29
639,3987,31
641,2769,9
641,8489,299
642,1558,303
643,3135,303
644,3148,303
645,3542,323
646,387,300
646,4227,301
647,1806,80
648,1557,303
649,862,199
649,4146,204
649,8734,213
649,7297,240
649,5102,241
649,5996,249
649,3542,323
650,6582,204
651,8400,236
653,1663,16
653,1772,140
653,3211,273
653,7703,274
656,7619,232
656,164,236
657,7440,90
658,2365,250
658,1010,300
658,3454,301
658,474,302
659,3708,289
659,2955,290
663,8763,89
663,6405,90
665,4581,192
665,8563,199
665,4052,204
665,2576,240
665,7870,249
665,3542,323
666,5950,249
666,3542,323
668,595,74
668,887,75 399 401
668,2248,77
668,4107,204
670,8611,289
671,1747,90
672,5069,185
673,1067,97
673,3050,160 96
674,1338,236
675,4152,204
675,8326,239
675,8737,289
675,6513,290
676,724,76
678,3101,185
679,4190,204
679,3636,311 12
680,8762,94
680,4054,204
680,3189,207
680,8871,211
680,1049,212
681,5918,250
681,9064,311
682,1662,16
682,3083,136 137
682,1718,138
683,8762,94
683,4202,204
683,8143,207
683,8849,208
683,1038,209
683,683,210 536
683,8867,211
683,1040,212
683,8282,213
683,3542,323
684,2823,239
687,4819,81
687,5750,102
687,4199,103
687,4015,204
688,1662,16
688,3068,136 137
688,4453,138
689,1591,97
689,7112,184 96
689,6764,185
690,3276,29
690,3880,31
691,5178,29
691,3987,31
692,346,300
692,4261,301
694,761,18
694,2348,300
694,1836,301
696,1338,236
698,2809,240
698,8326,241
698,2146,249
698,3542,323
700,5178,29
700,3987,31
701,3670,29
701,3987,31
702,164,236
703,1108,300
703,4280,301
703,8626,302
705,2711,236
706,2146,249
706,3542,323
707,3642,29
707,3880,31
708,8410,213
708,3093,249
709,635,83
709,7927,199
709,4194,204
709,8734,213
709,5950,249
710,250,74 79
710,4167,204
711,7866,300
711,5165,301
712,4364,300
712,7113,301
714,207,83
714,4010,204
714,5996,249
717,3662,29
717,3890,30
717,3970,31
718,1978,300
718,5165,301
719,1844,300
719,9053,301
719,1883,302
720,1511,156
720,6578,307
721,6108,72
721,5776,81
722,5750,102
722,4199,103
723,3667,29
723,4459,31
726,4068,81
726,1225,82
727,4173,213
727,4355,240
727,5102,241
727,792,249
730,305,81
731,2966,283
732,1777,77
732,2365,250
732,3343,300
732,3490,301
733,8762,94
733,8121,213
733,2146,249
733,3691,324
734,4093,204
735,7159,300
735,4285,301
737,1663,16
737,8314,17
737,8185,140
737,1769,274
739,4320,250
739,1009,300
739,3454,301
744,3660,29
744,3987,31
745,1719,136 137
747,6645,236
748,1663,16
748,8314,17
748,8175,140
749,6645,236
752,84,234
752,776,237
754,1591,97
754,2313,184 96
754,3109,185
755,3658,29
755,4459,31
757,8396,236
759,1119,73
759,2402,300
759,3228,301
760,3831,300
760,3792,301
763,130,289
765,6953,236
767,1794,92
767,5107,93
768,8762,94
768,4564,204
771,1067,97
771,6046,160
772,2514,311
773,1663,16
773,8193,140
777,5178,90
778,234,250
780,1067,97
780,3798,160
781,3650,29
781,3976,31
782,5223,309
783,7289,116
783,5336,269
785,1777,72
785,2676,300
785,3620,301
785,2357,302
786,980,300
786,2560,301
786,2357,302 12
787,89,300
787,6439,301
788,3276,29
788,3970,31
789,5939,90
790,7929,249
790,3542,323
793,8850,72
794,7594,233
794,8351,234
794,8569,237
795,3276,29
795,4459,31
796,450,300
796,4259,301
798,5083,300
798,1735,301
800,1617,67
800,8483,145
801,4106,204
802,6777,16
802,8188,140
803,8177,140 274
803,8324,239
803,2303,273
804,1663,16
804,8196,140
805,1662,16
805,1717,136 137
805,1680,138
806,2842,86
806,6531,87
806,3413,122 125
806,1681,126
806,1745,132
806,5112,285
809,8611,289
809,3685,290
813,7521,49
813,7217,50
813,6936,64
813,2890,65
814,4810,81
815,5149,303
816,8866,250
816,2431,300
816,1399,301
818,1877,236
819,7446,29
819,3987,31
820,1663,16
820,8314,17
820,8175,140
820,1769,274
822,3658,29
822,4459,31
823,1747,29
823,3987,31
824,1338,236
825,2304,273
825,1772,274
826,769,249
827,1663,16
827,8194,140
828,1663,16
828,7703,140
829,5939,250
830,1663,16
830,7703,140
831,1663,16
831,7703,140
832,1615,236
833,4298,313
834,2514,311
835,165,250
836,3667,29
836,4459,31
837,8396,236
838,6953,236
839,6953,236
840,2275,165
841,8396,236
842,5178,29
842,4459,31
843,5427,2
843,3740,3 6
843,4965,84
844,3649,29
844,3987,31
845,7850,233
845,61,234
846,1338,236
850,3642,29
850,4459,31
851,3652,29
851,4459,31
852,4126,300
852,6127,301
853,3657,29
853,4459,31
854,1338,236
856,6838,300
856,4230,301
856,8110,302
858,2519,90
858,6591,237
858,7677,238
859,8186,140
859,8192,274
861,7920,234
861,1421,237
861,1567,238
863,4153,204
863,4806,235
863,8397,236
865,1663,16
865,8189,140
866,8177,140
866,8181,274
867,317,236
868,8400,236
869,3829,16
869,4057,204
870,8619,12
871,3829,16
871,1063,81
871,4148,204
872,1338,236
873,3829,16
873,7815,17
873,2248,72
873,4827,77
873,1063,81
875,3829,16
875,7815,17
875,5541,232
877,6953,236
878,4107,204
878,8146,307
880,3829,16
880,7815,17
880,4155,204
881,8396,236
882,6953,236
883,1731,236
884,1338,236
885,4068,72
885,1114,74
885,7369,77
886,3829,16
886,887,73
886,4155,204
887,668,73 75 401
887,6338,74
887,4034,204
887,7607,248
887,1550,250
889,1662,16
889,382,17
889,1694,136 137
890,6953,236
891,1550,72
891,4814,81
891,165,250
892,8396,236
893,1662,16
893,1685,136 137
893,1679,138
899,2192,79
900,8397,236
901,1693,136 137
904,7369,250
904,7010,262
905,196,83
905,4193,204
906,1765,236
909,4120,204
911,6953,236
912,7655,79
914,8396,236
915,2648,116
916,8397,236
917,2508,236
918,8124,300
918,6641,301
919,3301,127
919,1681,136 137
921,1877,236
922,4107,204
923,433,283
924,887,74
925,4160,204
927,5990,300
927,4222,301
929,4013,204
930,3829,16
930,7815,17
930,569,235
930,6953,236
931,7236,300
931,2112,301
932,6953,236
933,2116,236
935,8397,236
936,1283,236
938,1283,236
939,2123,236
942,3829,16
942,4148,204
943,1338,236
944,2365,250
945,8395,236
946,164,236
947,3830,16
948,8397,236
949,6953,236
950,1338,236
951,1338,236
952,3047,235
952,8396,236
953,8396,236
954,4068,72
954,4063,204
956,3234,233
956,69,234
958,1338,236
960,1338,236
961,6953,236
962,8396,236
963,1663,16
963,8314,17
963,8196,140 274
964,3829,16
967,7425,300
967,3144,301
968,8396,236
969,6953,236
970,8396,236
971,1067,97
971,6181,160 96
975,8397,236
976,8762,94
976,3190,207
976,7670,211
976,1052,212
976,3542,323
977,5950,249
977,3542,323
978,769,249
979,2681,18
979,4071,311
980,3625,303
981,3626,303
982,780,161
983,1662,16
985,1346,234
985,1501,238
986,7482,67
986,8483,145
987,7396,86
987,6531,87
987,4695,284
987,7505,285
988,27,292
989,5596,1
989,5598,2
989,3740,3 6
989,2704,4
989,4121,204
989,2121,320
991,6953,236
992,6482,303
993,1870,86
993,6531,87
993,7827,284
993,4763,285
994,4697,86
994,6531,87
994,5126,285
995,2196,86
995,6531,87
995,1980,284
995,4085,285
996,4905,165
997,3654,29
997,3888,31
999,4260,303
1000,7298,149
1000,257,152
1000,1783,249
1001,4062,204
1002,2054,125
1002,3086,126
1003,4814,81
1004,7084,262 267
1005,2204,86
1005,6531,87
1005,2492,122
1005,4956,125
1005,1698,126
1005,5903,285
1006,4069,88
1006,9000,250
1006,8413,289
1006,675,290
1007,1663,16
1007,8314,17
1007,8195,140
1007,6869,274
1008,3455,303
1009,3454,303
1010,3455,303
1011,7680,125
1011,1454,126
1011,2180,128 122
1011,3303,129
1012,7985,86
1012,6531,87
1012,7576,125
1012,1688,126
1013,2786,250
1014,8187,140
1014,4140,204
1014,8197,274
1015,1663,16
1015,2552,140 274
1015,2304,273
1016,3641,29
1016,4459,31
1017,3654,29
1017,4459,31
1018,2437,249
1018,2856,282
1018,422,283
1019,1912,77
1021,7624,249
1021,3542,323
1022,3569,35
1024,3465,300
1024,7146,301
1025,1663,16
1025,8314,17
1025,1769,140
1025,6869,274
1028,4147,204
1029,1210,136 137
1030,5358,2
1030,2704,3 6
1034,6660,300
1034,1394,301
1037,1659,178
1037,62,180
1039,3657,29
1039,3970,31
1041,6777,16
1041,8189,140
1042,8323,303
1044,3654,29
1044,3888,31
1045,848,192
1045,6791,199
1045,2146,249
1045,7704,324
1046,3998,29
1046,3888,31
1047,1662,16
1047,3056,136 137
1047,3078,138
1048,1662,16
1050,7369,77
1050,8183,140 274
1051,1154,219
1054,3662,29
1054,3888,31
1055,3654,29
1055,3880,31
1056,4140,204
1056,4616,250
1059,5992,29
1059,4141,31
1065,1663,16
1065,8198,140
1066,4323,29
1066,3880,31
1067,2793,308
1072,7184,185
1073,4162,204
1073,1338,236
1075,2422,300
1075,3134,301
1077,4167,204
1077,1573,300
1077,3228,301
1079,1662,16
1079,382,17
1079,4392,136 137
1081,1699,136 137
1081,6869,140
1082,695,233
1082,928,234
1082,8349,237
1085,1869,165
1086,6481,303
1087,6437,303
1089,3276,29
1089,3987,31
1090,5697,1
1090,5463,2
1090,2704,4 6
1091,6481,303
1092,3648,29
1092,3987,31
1093,4120,204
1093,3791,312
1093,2283,313
1094,6443,303
1095,7786,285
1096,4323,29
1096,3888,31
1098,7635,289
1099,1747,90
1100,8766,89
1100,6405,90
1101,4152,204
1101,8737,289
1102,6971,255
1102,7002,262
1102,7079,267
1103,1796,300 486
1103,4599,301
1103,336,302 311
1104,2347,97
1104,6006,184 96
1104,3928,185
1105,4165,204
1105,2496,282
1105,8196,283
1106,4277,303
1107,4274,303
1108,4277,303
1112,3301,127
1112,1668,136 137
1113,447,130
1114,741,73
1114,232,79
1114,1062,81
1115,3640,29
1115,3987,31
1116,3642,29
1116,3987,31
1117,1673,136 137
1118,449,300
1118,4259,301
1120,5904,300
1120,5168,301
1121,992,300
1121,1836,301
1122,5492,2
1122,2121,320
1123,1097,166
1125,1662,16
1125,1713,136 137
1125,1701,138
1126,3660,29
1126,4821,31
1128,5024,156
1130,4167,204
1131,3658,29
1131,3888,31
1135,8187,140 274
1135,2303,273
1136,6267,86 443
1136,704,87
1136,1875,116
1136,1569,269
1137,8178,140 274
1140,8193,140
1140,8151,244
1141,8611,289
1142,7403,300
1142,4262,301
1142,8986,302
1143,1583,167
1143,1659,168
1143,6050,170
1143,62,171
1144,2463,300 486
1144,5149,301
1145,6405,90
1146,3661,29
1146,3888,31
1148,4004,204
1149,8041,253
1150,1503,86
1150,1784,87
1150,2944,269
1151,7091,77
1151,878,79
1151,4167,204
1152,3654,29
1152,3987,31
1153,1680,136 137
1154,371,218
1154,6209,223
1155,8173,140 274
1155,8162,239 573
1155,3387,244
1155,2384,273
1156,6405,90
1157,3998,29
1157,3888,31
1158,1663,16
1158,8314,17
1158,8177,140 274
1159,1663,16
1159,8314,17
1159,2303,273
1159,6869,274 140
1160,7949,288
1161,7094,303
1162,3998,29
1162,3888,31
1163,1684,136 137
1164,5687,2
1164,3740,3 6
1166,4151,204
1166,156,250
1166,1255,300
1166,4996,301
1167,3071,136 137
1168,3661,29
1168,4459,31
1169,1662,16
1169,2959,136 137
1169,1718,138
1170,3648,29
1170,3888,31
1171,4323,29
1171,3970,31
1172,5688,1
1172,5718,2
1172,3740,3 4 6
1172,2121,320
1175,1201,300
1175,4300,301
1176,1784,87
1176,2461,116
1177,7039,300
1177,8043,301
1178,5523,224
1179,1662,16
1179,4450,136 137
1179,4438,138 450
1180,4250,303
1181,4252,303
1182,4905,165
1184,4252,303
1185,3454,303
1186,3654,29
1186,3880,31
1187,1630,308
1188,8330,303
1189,4905,165
1191,8109,196
1192,1286,165
1193,7658,269 586
1194,1869,165
1195,1286,165
1196,3078,136 137
1198,1687,136 137
1200,2704,3 6
1200,2121,320
1201,4666,303
1202,8251,303
1203,5701,2
1203,2704,3 6
1204,2121,320
1205,1747,29
1205,3888,31
1206,4323,29
1206,3970,31
1207,4359,12
1208,4237,303
1209,2063,185
1210,1011,123
1210,3963,124
1210,1210,134 460
1210,1670,135 133
1211,1011,123
1211,4591,124
1211,1211,134 460
1211,1703,135
1212,9204,107
1213,3661,29
1213,3888,31
1214,1991,300
1214,2224,301
1215,3665,29
1215,4459,31
1216,6991,262
1217,5028,117
1217,1585,118 258
1217,7008,257 262
1218,4347,300
1218,4206,301
1219,2013,300
1219,4205,301
1219,1519,311 302
1220,1400,303
1221,3998,29
1221,3888,31
1222,5391,2
1222,2704,6 3
1223,207,83
1224,130,289
1225,8886,72
1225,1114,79
1225,4820,81
1225,8865,250
1226,7068,303
1227,3530,303
1228,5471,2
1228,3740,6 3
1229,6943,262
1230,5939,90
1231,5405,1 2
1231,3740,4 3
1231,2704,6
1232,4894,165
1233,8737,289
1234,4235,303
1235,2086,300
1235,8861,301
1236,4453,126
1237,5178,29
1237,3987,31
1238,6736,300
1238,6797,301
1239,5713,1
1239,3740,3 4 6
1241,8247,303
1241,4424,304
1242,1717,136 137
1242,1704,138
1243,5382,2
1243,3740,3 4 6
1244,1663,16
1244,8314,17
1244,8196,140 274
1245,130,289
1246,1840,300
1246,4278,301
1247,2236,303
1248,7078,257
1248,6984,262
1248,6946,267
1248,6610,268
1249,7043,300
1249,4269,301
1250,5352,2
1250,2704,3 6
1251,2623,117
1251,2394,118
1251,7002,262 255
1252,1286,165
1253,7790,303
1253,4424,304
1254,6859,181
1254,8247,303
1255,6859,181
1255,2153,303
1256,6859,181
1256,4996,303
1257,6247,300
1257,4276,301
1258,6248,300
1258,4278,301
1259,1498,300
1259,3294,301
1260,6405,90
1261,3660,29
1261,3976,31
1262,1747,29
1262,3888,31
1264,4818,81
1265,6999,262
1266,3638,29
1266,4459,31
1268,1694,136 137
1270,7007,262
1270,7075,267
1271,8865,250
1272,6961,262
1272,7021,267
1273,5457,2
1273,2704,3
1273,3740,6
1274,7082,262
1274,7110,267
1276,7080,262
1277,5603,2
1277,3740,3 4 6
1278,6961,262
1279,1810,117
1279,7165,262
1279,6583,267
1279,2503,268
1280,9102,117
1280,7007,257
1280,2389,258 118
1280,6945,262
1281,5423,2
1282,3835,123
1282,1127,124
1282,1282,134 460
1282,1680,135
1284,6105,117 611
1284,7080,262
1284,6970,267
1284,1416,268
1285,7109,262 255
1286,6030,163
1287,3740,3
1287,8543,280
1287,4329,281
1290,4020,204
1291,1286,165
1292,6990,262
1292,7025,267
1293,1869,165
1294,6999,262
1294,7082,267
1295,6983,255
1295,7007,262 267
1296,3188,207
1296,7623,213
1297,4905,165
1298,5102,239
1298,8123,257
1298,2205,258
1298,7166,262
1299,2035,300
1299,2225,301
1300,130,289
1301,2179,300
1301,2225,301
1302,2471,300
1302,2224,301
1303,3740,3
1303,588,280
1303,4331,281
1304,7068,303
1305,6985,257
1305,7010,262
1306,1286,165
1307,3191,303
1308,8318,303
1309,8318,303
1310,4837,303
1311,2814,303
1312,8318,303
1313,8317,303
1314,8317,303
1315,3094,303
1316,3094,303
1317,8317,303
1318,1869,165
1320,999,300
1320,4258,301
1321,1286,165
1323,2623,117
1323,6997,262
1323,6961,267
1323,3339,268
1324,4894,165
1325,130,289
1327,5605,2 1
1327,3740,3 4 6
1328,3740,3
1328,731,280
1328,3260,281
1328,2121,320
1329,8609,117
1329,6986,262
1330,8294,292
1331,1286,165
1332,2866,156
1332,7907,307
1333,3334,303
1334,2077,303
1335,3334,303
1336,3740,3 6
1337,3740,3
1337,5978,280
1337,5094,281
1338,2724,234
1338,4903,237
1338,1764,238
1339,6983,255
1339,7162,262
1339,7008,267
1340,1322,185
1341,8102,117
1341,2461,118
1342,2704,3 6
1343,5084,300
1343,4257,301
1345,3286,117
1345,2648,118
1345,7025,262
1345,6960,267
1347,1980,279
1347,4883,280
1347,4330,281
1348,3740,3
1348,4883,280
1348,995,281
1350,1286,165
1351,2566,300
1351,8257,301
1352,3740,3
1353,7165,262
1353,7007,267
1354,5459,2
1354,3740,3
1355,6904,42
1356,520,117 611
1356,6945,255
1356,7165,262
1357,8611,289
1357,1862,290
1358,3658,29
1358,4459,31
1359,3642,29
1359,3880,31
1361,8257,303
1362,130,289
1363,5731,2
1363,3740,6
1364,8257,303
1365,2052,117
1365,2648,118
1365,8140,262
1365,6997,267
